Cycle,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3
21,0.8785862817259922,0.8873945743843125,0.8861824224668754,0.10226995823432147,0.10263547348815169,0.10209521779676112,0.3276844486531049,0.32696015518482097,0.3278360600308494,0.001151735298898009,0.0011495056961493447,0.001099412897153461,0.8803633779932661,0.8879686945676795,0.890216100409772,0.15905232586787268,0.16213003461799833,0.16184381682319407,0.2573891404652485,0.2572720393917348,0.25631384351786674,0.0008273540419323367,0.0008358517280148719,0.0008842349163248752
22,0.910072963584193,0.9175457253303517,0.916531532608015,0.1741314681902569,0.1748327556705172,0.17389684374421138,0.4434037118171391,0.4427830424489171,0.443513307745357,0.0022981416823871607,0.0022901424369270234,0.002194159346476723,0.91213395677155,0.9185628167128637,0.9204684123285511,0.25430712312477255,0.2575248482348907,0.25813045849137406,0.3670906489414389,0.3672083447276982,0.36657374450366326,0.0016520845056971975,0.0016690209494625852,0.0017654777978226314
23,0.9338903533250812,0.9400725488876698,0.9392438294766171,0.27337004179728147,0.27459012341752653,0.2731137509194141,0.5588085511808167,0.5583724591644851,0.5588580689775383,0.004575153727461329,0.004545339393837706,0.004369801833009371,0.9359702933116437,0.9412627375199317,0.9428330234127711,0.37238831793089666,0.3747303425288512,0.37699279467321295,0.4840674878754838,0.48449440314294046,0.48440558910588766,0.003293737306363974,0.0033273766673256023,0.0035190636097731666
24,0.9516737749068589,0.9566871842970209,0.9560226078221884,0.3930523235149096,0.39490882218197726,0.3928354389652952,0.6640597250454009,0.6638282634091298,0.6640497973268273,0.009067244240362163,0.008954980723897612,0.00866670359766593,0.953613292189114,0.9578801521579742,0.959145524506603,0.5005415368005461,0.5011674980206535,0.505456187185576,0.5969825668164466,0.5977014615631049,0.5982050664303448,0.006546241060827969,0.006612602812528797,0.006991158659266333
25,0.9648223866742914,0.9688240296210788,0.9682989560920544,0.519931615567164,0.5223744867238981,0.5198049777384399,0.7530543084445412,0.7529977980248005,0.7529992484790671,0.017813377798561392,0.017397500952116413,0.017050777603291278,0.9665405585477445,0.969924299199952,0.9709262251293358,0.6238608834853343,0.6225587306956174,0.628567694427657,0.6971365254882664,0.6980545573777747,0.6990327513142353,0.012931376615507327,0.013060563805412127,0.013799086213615301
26,0.9744733955960072,0.9776273425680674,0.9772173728671647,0.6398305452288735,0.6426294066142937,0.6398105052866265,0.823707631985026,0.8237720353238461,0.8236268768738485,0.03442417275279237,0.03295587924835792,0.03303740495444929,0.975941934411172,0.9785904549558267,0.9793728609072673,0.7306612508657894,0.7278582030531757,0.7347600452013348,0.7798539088181066,0.78084805538964,0.7820973495346533,0.025247202300027305,0.025492402738926837,0.026900127923909632
27,0.981519082734503,0.9839798144401759,0.9836627402101601,0.7423606284735352,0.7451966776560752,0.7424289008408088,0.8770197152575625,0.8771500731995455,0.8769307624979213,0.06459574622696762,0.05985908048998672,0.06227607658668674,0.982741761344255,0.9847932468917027,0.9853975171276895,0.8152158563751996,0.8116539465910615,0.8185093526762134,0.8442665717986272,0.8452274115633943,0.8465447904023435,0.048238404730807184,0.048682774030811726,0.051255468136975166
28,0.9866424585518163,0.9885466245353315,0.9883032727355914,0.8229347184088001,0.825525868073406,0.8230552366653201,0.9156914206976369,0.9158450916550895,0.9156064396303663,0.11552381252090256,0.10223995531340507,0.11215817720725726,0.9876404059227191,0.9892160882856812,0.9896786458074098,0.8774344552498448,0.8738078271163141,0.8799154724178069,0.8921302492516798,0.8929853585307154,0.8942212785213007,0.08879002669439459,0.08953481872603225,0.09391707814634646
29,0.9903572604732785,0.9918208608168972,0.9916352605553171,0.8820674361062549,0.8842458284055049,0.8822048987397697,0.9429296287872916,0.9430795574847848,0.9428552242109297,0.19286701043276827,0.16180116984029594,0.1889707510305846,0.991159286036897,0.9923612096832056,0.992712728564977,0.9207051022723689,0.9174656099117812,0.922484728373216,0.9264451169422521,0.9271612480494481,0.9282327370162916,0.15424536982541717,0.1553560669684814,0.1620874813486707
30,0.9930451039991265,0.9941638157400436,0.9940229968635291,0.9232451390873322,0.9249627567934905,0.9233751746324406,0.9617114057916273,0.9618436626289317,0.9616499569892932,0.29612590369441516,0.2364252790362633,0.29300799193442933,0.993681797256256,0.9945934123384689,0.9948589506763542,0.9495857914214861,0.9469301907267581,0.9508178544737093,0.9504054154794788,0.9509787676273083,0.9518574110328316,0.24800925494149392,0.2494372784706343,0.25853291756843294
